LotArea,OverallQual,OverallCond,YearBuilt,GrLivArea,GarageCars,SalePrice
2225,10,2,1993,3453,1,749330
15590,4,5,2020,4363,0,750792
4491,4,8,2005,1014,2,331398
8381,3,3,2017,3262,0,578463
16519,2,3,1999,3230,1,573361
11670,1,7,2005,3125,0,502129
3829,4,1,1954,698,4,269323
3777,1,4,1973,3948,4,592981
6985,4,3,1953,2368,1,447362
17535,3,3,2013,4899,4,848176
7583,3,1,1982,585,2,256234
6631,4,5,1952,3809,0,595310
19982,9,8,1998,1244,3,547954
9974,6,5,2010,2614,3,600791
3140,1,4,2009,4557,4,704750
3442,2,1,1980,2479,3,440399
19652,8,10,2007,4643,0,886952
6517,8,1,2008,3478,1,719975
8936,9,1,1998,4927,2,925752
18165,4,9,1952,2629,1,519672
17160,6,9,1964,3078,4,656918
5775,2,1,1989,1884,3,386751
13684,8,6,2008,3240,0,689564
17840,8,10,1997,1091,1,447413
7335,2,4,1993,4898,3,761256
3743,4,8,2016,1842,1,438009
9685,10,3,1960,4357,3,884656
19009,10,5,1959,2906,1,698592
5224,6,3,1972,811,1,323076
5108,9,6,1985,3679,1,742620
15265,3,10,1992,1477,1,357154
13704,2,8,1973,1075,0,251894
7044,9,5,2005,1210,4,500891
19833,10,1,1996,3959,2,861151
4747,1,7,1996,4317,0,615815
6128,4,7,1956,4350,0,677648
14208,6,7,1980,3168,1,645619
16302,4,3,2011,2631,2,560876
12057,8,8,2018,3947,4,839603
7291,2,6,1960,2590,1,427813
17626,9,7,1979,4043,1,819379
7828,4,10,1978,4983,0,760501
11139,8,5,2009,1032,4,491379
17713,7,3,1996,4485,0,835034
7579,10,9,1993,4795,2,939940
9652,9,7,1987,2253,2,602806
9674,10,8,1958,1715,3,547638
10026,10,1,1976,4796,1,925151
9851,6,2,2003,2087,2,523074
7919,5,8,2010,858,1,351167
5572,6,2,2012,3630,3,722110
15022,6,5,1998,1655,2,490712
16891,7,6,2016,4441,2,847799
2240,4,8,1998,3197,1,579993
8988,2,8,1954,4909,4,739230
17688,6,1,1985,1898,0,484575
2817,2,3,2021,1092,2,299061
18292,10,1,2011,1391,3,599724
9448,6,8,2002,1081,4,414961
14069,2,2,1957,3428,4,574321
19635,3,3,1989,4132,0,692475
19519,10,5,1951,2691,0,671279
16547,2,9,1996,2070,2,446375
6111,7,3,2024,2292,4,608989
7050,3,3,2011,1674,0,369044
7189,4,3,1989,4090,4,726596
10495,8,10,1951,4567,4,855568
7506,7,7,1994,1728,2,477748
9844,10,6,1970,2979,4,742574
14456,1,9,2007,583,4,270923
3049,2,2,2006,2925,0,487833
5524,2,9,1992,4738,3,734347
9832,2,9,2008,3515,2,595934
4138,8,9,1990,1446,4,486018
14373,10,3,2018,691,3,490909
11305,6,6,1973,2544,2,551752
2484,5,6,1981,4666,1,742967
14528,4,1,1992,3849,0,670329
9003,7,2,1998,1288,0,424170
6458,6,9,1973,4946,3,836420
8509,6,5,1953,2407,1,514968
11578,8,5,2022,696,4,462474
3429,10,6,1959,3557,2,738978
9799,5,3,1962,2641,1,508841
4133,2,3,1967,3518,4,575567
19170,7,10,1989,4737,0,852292
2490,6,2,2003,1316,0,397111
9500,1,10,2017,3817,3,633899
18698,7,10,1979,4489,4,857701
16687,1,10,1997,1758,2,368186
14661,1,2,1980,2370,0,409848
16552,2,6,2024,4306,3,738050
3464,6,4,1971,4617,2,774898
2852,8,8,1972,1925,3,508092
5845,5,4,2001,1172,2,389396
6927,6,10,1970,4580,1,759478
9089,1,10,1961,1234,1,234401
16385,1,7,1958,693,3,233679
2570,6,10,1967,4523,3,765971
3370,6,6,1957,1984,3,459803
15523,2,1,1958,1592,4,359083
17225,6,1,1952,4922,3,873265
10339,2,2,1985,4532,0,674286
17913,6,2,1957,4874,3,846012
8009,7,6,1977,3535,2,683345
10454,3,8,1958,4957,4,784142
16588,10,2,1998,4948,1,987199
3760,5,2,1997,2930,1,558392
10626,7,8,2006,3417,0,676440
18518,7,1,2023,2920,3,698316
11753,10,1,1994,1842,3,615618
13245,9,8,1963,2804,4,671493
11817,6,8,1955,2979,2,595563
14237,9,1,2006,2599,4,702583
8888,6,9,1963,4640,2,794731
9779,7,9,1970,3020,1,616799
15350,6,7,1961,1398,4,450703
11180,10,9,2021,1239,2,529852
15423,10,5,1969,3768,0,784735
17425,5,2,2001,901,3,395487
4707,9,5,1985,2145,3,575460
2534,5,6,1969,3699,0,603923
6255,4,1,1978,3554,3,627612
2624,8,1,1971,4713,1,846426
18277,8,6,2013,768,2,453586
2778,5,6,2000,2841,1,564626
2356,1,8,2013,2992,0,481075
15802,9,4,1966,3996,4,830599
19232,4,7,1997,822,2,356298
13944,3,2,2005,2759,1,541044
4865,3,3,2017,1487,0,337651
4173,8,6,1953,4811,2,834560
19050,8,9,1969,1476,4,508460
3090,8,9,1957,2548,4,585492
6110,10,10,1994,515,3,414124
15067,4,6,1959,3123,1,555817
3651,1,3,2009,4677,3,716730
13294,1,2,1988,556,2,214337
8054,6,10,1984,1495,2,421156
17877,2,2,2018,3618,0,615956
10103,9,3,1987,1787,2,564077
13021,8,6,1961,2112,2,546560
14174,4,5,2023,3311,3,667119
10029,9,8,1958,1111,4,456843
19169,1,6,1970,4264,3,664986
17153,2,3,1991,2166,2,460605
19885,3,8,2015,1880,4,497704
19865,8,2,1985,3882,4,840965
12907,9,6,1997,2194,0,577397
10979,1,1,2004,2951,0,477854
9497,9,6,1985,4865,4,943599
3878,5,3,2002,2908,2,583871
15457,8,10,1980,1162,1,454440
11355,6,2,1962,4682,2,802949
6438,10,7,2016,2143,0,610735
18830,7,5,1962,742,1,379354
13267,6,9,1962,4643,3,817821
9918,10,5,1971,1823,3,586042
9894,4,6,1958,2117,1,434044
5898,10,3,1996,1286,3,510338
3202,8,1,1966,1714,0,467721
7858,5,8,2020,2051,4,516754
11498,10,4,1988,1349,1,512255
6497,10,2,2022,4464,4,940329
2152,9,1,2007,3338,3,753977
2569,7,5,1989,2560,3,577686
19622,2,5,1957,3397,2,577537
12402,7,4,1953,713,3,373669
10248,5,3,2002,1806,3,478558
11723,6,10,1965,2288,4,552549
7596,3,10,2007,2568,2,504936
15994,4,9,1979,2978,4,598839
2163,4,6,1975,3849,0,607901
16389,3,6,2007,951,0,319987
17219,8,5,1965,4506,4,894271
5383,6,5,2013,3678,3,725164
19739,10,4,1963,1514,2,549903
18176,9,3,2022,3416,1,796150
